Name;Hex (RGB);Red (RGB);Green (RGB);Blue (RGB);Hue (HSL/HSV);Satur. (HSL);Light (HSL);Satur. (HSV);Value (HSV);Image Base64
Sheen green;#8FD400;56%;83%;0%;80°;100%;42%;100%;83%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAhUlEQVR4nO3QQQ3AIADAQMB/MIchLKwvsuROQdO5z+Cj9TrgT8wKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCi7J+AHFGilmZQAAAABJRU5ErkJggg==
Shimmering Blush;#D98695;85%;53%;58%;349°;52%;69%;38%;85%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQMD8BGAOObOwvsiSOwVN53n24Jt1O+BPzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKXhb1AlYd83+LAAAAAElFTkSuQmCC
Shiny Shamrock;#5FA778;37%;65%;47%;141°;29%;51%;43%;66%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQEDobKAIn7OwvsiSOwVN53P24Jt1O+BPzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKXoczAd46XtmOAAAAAElFTkSuQmCC
Shocking pink;#FC0FC0;99%;6%;75%;315°;98%;52%;94%;99%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAiElEQVR4nO3QQQ3AIADAQMDA/KvBGI9ZWF9kyZ2CpvM8e/DNuh3wJ2YFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBS/nFwIufdUkXAAAAABJRU5ErkJggg==
Shocking pink (Crayola);#FF6FFF;100%;44%;100%;300°;100%;72%;56%;100%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAhUlEQVR4nO3QsQ3AIADAMODi/r/AC2RClewLosz97cGd9TrgT8wKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCg6RNALSMPetBwAAAABJRU5ErkJggg==
Sienna;#882D17;53%;18%;9%;12°;71%;31%;83%;53%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQEDEXKAT27OwvsiSOwVN59nP4Jt1O+BPzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKXhvlAS5J6MBJAAAAAElFTkSuQmCC
Silver;#C0C0C0;75%;75%;75%;—°;0%;75%;0%;75%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAhUlEQVR4nO3QQQ0AIRDAwOP8e1prWKAvQjKjoOmamY8z/+2Al5gVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFWxQRwKhXgPiogAAAABJRU5ErkJggg==
Silver (Crayola);#C9C0BB;79%;75%;73%;21°;12%;76%;7%;79%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAiElEQVR4nO3QsQ3AIADAMOD/i7ow81VfaCZUyb4gyjz7GXyzbgf8iVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZwQt2TQKmk/OWqwAAAABJRU5ErkJggg==
Silver (Metallic);#AAA9AD;67%;66%;68%;255°;2%;67%;2%;68%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QwQnAIADAQHX/QYrgjl2heUnhboKQuZ8z+GbdDvgTswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArOCFxMCAmN0OvAOAAAAAElFTkSuQmCC
Silver chalice;#ACACAC;67%;67%;67%;—°;0%;67%;0%;67%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAhUlEQVR4nO3QQQ0AIRDAwOP8K1mVWKAvQjKjoOmamY8z/+2Al5gVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFWzYLgJiLX1PawAAAABJRU5ErkJggg==
Silver pink;#C4AEAD;77%;68%;68%;3°;16%;72%;12%;77%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQMC/FVwgDAvriyy5U9B0nr0H36zXAX9iVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZwATG9AoIwOfMHAAAAAElFTkSuQmCC
Silver sand;#BFC1C2;75%;76%;76%;200°;2%;75%;2%;76%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAhklEQVR4nO3QQQ3AIADAQMC/pwVnWKAvsuROQdP57T24s14H/IlZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWcEBO3QCpXREWAgAAAAASUVORK5CYII=
Sinopia;#CB410B;80%;25%;4%;17°;90%;42%;95%;80%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAiElEQVR4nO3QwQnAIADAQPXZpdwfHKorNC8p3E0QMs9+Bt+s2wF/YlZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBW8AJVzQF5CYtamgAAAABJRU5ErkJggg==
Sizzling Red;#FF3855;100%;22%;33%;351°;100%;61%;78%;100%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQEDVhODfCrOwvsiSOwVN53n24Jt1O+BPzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKXm97Ae/yp0euAAAAAElFTkSuQmCC
Sizzling Sunrise;#FFDB00;100%;86%;0%;52°;100%;50%;100%;100%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAhUlEQVR4nO3QQQ3AIADAQMC/Q8SAhfVFltwpaDrPHny0Xgf8iVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZwQWUlQI+eRnxhwAAAABJRU5ErkJggg==
Skobeloff;#007474;0%;45%;45%;180°;100%;23%;100%;45%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAhElEQVR4nO3QMQ0AIADAMEAy/g8ssIuQtAqWzbH34M56HfATswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArOCAxOsAUibVf6UAAAAAElFTkSuQmCC
Sky blue;#87CEEB;53%;81%;92%;197°;71%;73%;43%;92%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQMD83CEEFbOwvsiSOwVN57PP4Jt1O+BPzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKXsV0AqMRKiSrAAAAAElFTkSuQmCC
Sky blue (Crayola);#76D7EA;46%;84%;92%;190°;73%;69%;50%;92%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQMDzrCICFbOwvsiSOwVN57PP4Jt1O+BPzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKXnl0Aplx2GS1AAAAAElFTkSuQmCC
Sky magenta;#CF71AF;81%;44%;69%;320°;50%;63%;45%;81%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQEDxnOEETbOwvsiSOwVN53n24Jt1O+BPzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKXvDJAlF7HrFzAAAAAElFTkSuQmCC
Slate blue;#6A5ACD;42%;35%;80%;248°;54%;58%;56%;80%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQMDlNGAVUbOwvsiSOwVN537O4Jt1O+BPzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKXpRmAfTIJ/9fAAAAAElFTkSuQmCC
Slate gray;#708090;44%;50%;56%;210°;13%;50%;22%;56%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQEDxHOAAzbOwvsiSOwVN57PP4Jt1O+BPzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKXjeVAeEip5fPAAAAAElFTkSuQmCC
Slimy green;#299617;16%;59%;9%;111°;73%;34%;85%;59%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQEDENKAYvbOwvsiSOwVN5z7P4Jt1O+BPzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKXmd0ATiSq+ZNAAAAAElFTkSuQmCC
Smitten;#C84186;78%;25%;53%;329°;55%;52%;68%;78%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQMDY5OEMXbOwvsiSOwVN53n24Jt1O+BPzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKXqnXAfCZLWyEAAAAAElFTkSuQmCC
Smoky black;#100C08;6%;5%;3%;30°;33%;5%;50%;6%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QsQnAIAAAQbVJI7j/tlkhX0ngboLn59nP4Jt1O+BPzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKXoXzAIYZo+HvAAAAAElFTkSuQmCC
Snow;#FFFAFA;100%;98%;98%;0°;100%;99%;2%;76%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAhUlEQVR4nO3QsQ3AIADAMOD/h5nghWZClewLosyz9+Cb9TrgT8wKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCi6nVANV/6mSNwAAAABJRU5ErkJggg==
Solid pink;#893843;54%;22%;26%;352°;42%;38%;59%;54%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQEDV3rjD9SysL7LkTkHTeZ49+GbdDvgTswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArOCFzMGAWcIX3mmAAAAAElFTkSuQmCC
Sonic silver;#757575;46%;46%;46%;—°;0%;46%;0%;46%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAhElEQVR4nO3QwQ3AIBDAsNKdb39WIC+EZE8QZc3Mx5n/dsBLzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKNlPaAcPeteHbAAAAAElFTkSuQmCC
Space cadet;#1D2951;11%;16%;32%;226°;47%;22%;64%;32%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAiElEQVR4nO3QQQ3AIADAQEDHBGAH/2ZmYX2RJXcKms5nn8E363bAn5gVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFbzvFAD5XjwUfgAAAABJRU5ErkJggg==
Spanish bistre;#807532;50%;46%;20%;52°;44%;35%;61%;50%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQMDStPHG+iysL7LkTkHTefYz+GbdDvgTswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArOCF3ejAYshqjM3AAAAAElFTkSuQmCC
Spanish blue;#0070B8;0%;44%;72%;203°;100%;36%;100%;72%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAhUlEQVR4nO3QQQ3AIADAQJhi3GEPC+uLkNwpaDrH2oN/vtsBLzErMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzh2oAGLHnUouAAAAABJRU5ErkJggg==
Spanish carmine;#D10047;82%;0%;28%;340°;100%;41%;100%;82%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAhUlEQVR4nO3QQQ3AIADAQJg59OMIC+uLkNwpaDr3WIN/vtsBLzErMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzgF/AF8ddO0cAAAAABJRU5ErkJggg==
Spanish gray;#989898;60%;60%;60%;—°;0%;60%;0%;60%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAhUlEQVR4nO3QQQ0AIRDAwOP8G1i3WKAvQjKjoOmamY8z/+2Al5gVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFWwhsQIv7qooygAAAABJRU5ErkJggg==
Spanish green;#009150;0%;57%;31%;153°;100%;28%;100%;57%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAhUlEQVR4nO3QQQ3AIADAQJhBtOEYC+uLkNwpaDrHXoN/vtsBLzErMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzgooAFEvaYj9wAAAABJRU5ErkJggg==
Spanish orange;#E86100;91%;38%;0%;25°;100%;45%;100%;91%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAhUlEQVR4nO3QQQ3AIADAQEAp8pGBhfVFltwpaDrPHny0Xgf8iVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZwQUMfwGsiWwSWgAAAABJRU5ErkJggg==
Spanish pink;#F7BFBE;97%;75%;75%;1°;78%;86%;23%;97%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAhklEQVR4nO3QQQ3AIADAQMC/J2TxxcL6IkvuFDSdZ+/BN+t1wJ+YFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBVcLQIC2aPfYFwAAAAASUVORK5CYII=
Spanish red;#E60026;90%;0%;15%;350°;100%;45%;100%;90%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQJgY/JvCBxbWFyG5U9B07rEG/3y3A15iVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZwAAncAW+trTZJAAAAAElFTkSuQmCC
Spanish sky blue;#00FFFE;0%;100%;100%;180°;100%;50%;100%;100%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAg0lEQVR4nO3QQQkAIADAQLV/Z63gXiLcJRibY+/BnfU64CdmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgUH1y8CYq+2YL4AAAAASUVORK5CYII=
Spanish violet;#4C2882;30%;16%;51%;264°;53%;33%;69%;51%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQEDNxKAK5bOwvsiSOwVN537O4Jt1O+BPzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKXjY0AVqhmBbLAAAAAElFTkSuQmCC
Spanish viridian;#007F5C;0%;50%;36%;163°;100%;25%;100%;50%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAhUlEQVR4nO3QQQ3AIADAQJhNxGAdC+uLkNwpaDrHXoN/vtsBLzErMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzjHxgE+YmnDKgAAAABJRU5ErkJggg==
Spring bud;#A7FC00;65%;99%;0%;80°;100%;49%;100%;99%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAhklEQVR4nO3QQQ3AIADAQMC/DVzywML6IkvuFDSd+ww+Wq8D/sSswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArOACfPACBXTTc9UAAAAASUVORK5CYII=
Spring Frost;#87FF2A;53%;100%;16%;94°;100%;58%;84%;100%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAhklEQVR4nO3QQQ3AIADAQEDNnCKbWVhfZMmdgqZzn2fwzbod8CdmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgUveP8CEkX1WxQAAAAASUVORK5CYII=
Spring green;#00FF7F;0%;100%;50%;150°;100%;50%;100%;100%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAhElEQVR4nO3QQQ3AIADAQJhxpIOF9UVI7hQ0nWOvwT/f7YCXmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVHHH8AeKZNSf7AAAAAElFTkSuQmCC
Spring green (Crayola);#ECEBBD;93%;92%;74%;59°;55%;83%;20%;93%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAiElEQVR4nO3QQQ3AIADAQMC/pCkiwcMsrC+y5E5B03n2M/hm3Q74E7MCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzghcQ1AL32EmrSQAAAABJRU5ErkJggg==
Star command blue;#007BB8;0%;48%;72%;200°;100%;36%;100%;72%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAhUlEQVR4nO3QQQ3AIADAQJhsjGEPC+uLkNwpaDrH2oN/vtsBLzErMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzjCjgGVGO2JZAAAAABJRU5ErkJggg==
Steel blue;#4682B4;27%;51%;71%;207°;44%;49%;61%;71%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQEDblOEJf7OwvsiSOwVN57PP4Jt1O+BPzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKXsGjAd/Ojb3UAAAAAElFTkSuQmCC
Steel pink;#CC33CC;80%;20%;80%;300°;60%;50%;75%;80%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQMDS/DtAFBboiyy5U9B07m8P7qzXAX9iVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZwACGxAi920SEfAAAAAElFTkSuQmCC
Stil de grain yellow;#FADA5E;98%;85%;37%;48°;94%;67%;62%;98%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQEDodGOF3yysL7LkTkHTefYz+GbdDvgTswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArOCFxnFApNTKri6AAAAAElFTkSuQmCC
Straw;#E4D96F;89%;85%;44%;54°;68%;66%;51%;89%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQEDx5PJGySysL7LkTkHTefYz+GbdDvgTswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArOCF/OWAo6Yx/grAAAAAElFTkSuQmCC
Strawberry;#FA5053;98%;31%;33%;359°;94%;65%;68%;98%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAiElEQVR4nO3QsQ3AIADAMODBLvz/B1tfaCZUyb4gyjzPHnyzbgf8iVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZwQtW+QIAlRB8BgAAAABJRU5ErkJggg==
Strawberry Blonde;#FF9361;100%;58%;38%;19°;100%;69%;62%;100%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAhklEQVR4nO3QQQ3AIADAQEDpPCGYWVhfZMmdgqbz7Gfwzbod8CdmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgUvF08CVtJE35QAAAAASUVORK5CYII=
Strong Lime Green;#33CC33;20%;80%;20%;120°;60%;69%;62%;100%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQMAS/h0gCgvriyy5U9B07rMH36zXAX9iVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZwAf4NAZZVnHVgAAAAAElFTkSuQmCC
